Tên đầy đủ,Tên viết tắt,Tên tiếng anh,Địa chỉ,Điện thoại,Fax,Giấy chứng nhận ĐKKD/Giấy phép thành lập,Vốn điều lệ,Vốn thực góp
Công ty TNHH Quản lý quỹ Mirae Asset (Việt Nam),MAFM,Mirae Asset (Vietnam) Fund management Company Limited,"Tầng 38, Keangnam Hanoi Landmark Tower, Khu E6, KĐTM Cầu Giấy, P.Mễ Trì, Q. Nam Từ Liêm, Hà Nội",024.3564.0666,024.3564.0555,Số 56/GP-UBCK ngày 20/8/2019,26.000.000.000 đồng,26.000.000.000 đồng
