no,security_code,ISINs,security_name,security_type,trading_market,administration_place,status,security_url
1,FUEKIV30,VN0FUEKIV304,Chứng chỉ Quỹ ETF KIM GROWTH VN30,Chứng chỉ quỹ,HOSE,Trụ sở chính,Hiệu lực,https://vsd.vn/s-detail/22485
2,FUEKIVFS,VN0FUEKIVFS6,Chứng chỉ Quỹ ETF KIM GROWTH VNFINSELECT,Chứng chỉ quỹ,HOSE,Trụ sở chính,Hiệu lực,https://vsd.vn/s-detail/27359
