Tên đầy đủ,Tên viết tắt,Tên tiếng anh,Địa chỉ,Điện thoại,Fax,Giấy chứng nhận ĐKKD/Giấy phép thành lập,Vốn điều lệ,Vốn thực góp
Công ty  TNHH Quản lý Quỹ EASTSPRING INVESTMENTS,EIFMC,Eastspring Investments Fund Management Limited Liability Company,"Tầng 23, số 37 Tôn Đức Thắng, Quận 1,  Tp HCM",(84-8)39101660,(84-8)39105613,25/GPĐC-UBCK  do UBCKNN cấp ngày 09/12/2011,500.000.000.000 đồng,500.000.000.000 đồng
