no,security_code,ISINs,security_name,security_type,trading_market,administration_place,status,security_url
1,E1SSHN30,VN0E1SSHN304,Chứng chỉ quỹ Quỹ ETF SSIAM HNX30,Chứng chỉ quỹ,HNX,Trụ sở chính,Hủy đăng ký,https://vsd.vn/s-detail/2556
2,FUESSV30,VN0FUESSV306,Chứng chỉ Quỹ ETF SSIAM VN30,Chứng chỉ quỹ,HOSE,Trụ sở chính,Hiệu lực,https://vsd.vn/s-detail/11391
3,FUESSV50,VN0FUESSV504,Chứng chỉ quỹ ETF SSIAM VNX50,Chứng chỉ quỹ,HOSE,Trụ sở chính,Hiệu lực,https://vsd.vn/s-detail/5891
4,FUESSVFL,VN0FUESSVFL3,Chứng chỉ Quỹ ETF SSIAM VNFIN LEAD,Chứng chỉ quỹ,HOSE,Trụ sở chính,Hiệu lực,https://vsd.vn/s-detail/10571
