Tên đầy đủ,Tên viết tắt,Tên tiếng anh,Địa chỉ,Điện thoại,Fax,Giấy chứng nhận ĐKKD/Giấy phép thành lập,Vốn điều lệ,Vốn thực góp
Công ty TNHH MTV Quản lý quỹ đầu tư chứng khoán I.P.A,"",I.P.A Securities Investment Fund Management Limited Company,"Số 1 Nguyễn Thượng Hiền, quận Hai Bà Trưng, thành phố Hà Nội.",024.3941.0510,024.3941.0500,số,52.000.000.000 đồng,52.000.000.000 đồng
