Tên đầy đủ,Tên viết tắt,Tên tiếng anh,Địa chỉ,Điện thoại,Fax,Giấy chứng nhận ĐKKD/Giấy phép thành lập,Vốn điều lệ,Vốn thực góp
Công ty cổ phần Quản lý quỹ Kỹ Thương,TCC,Techcom Capital Joint Stock Company,"Tầng 10, 191 Phố  Bà Triệu, Phường Lê Đại Hành, Quận Hai Bà  Trưng, Hà Nội",(84-24) 39446368,(84-24) 39446583,Số 40/UBCK-GP ngày 21/10/2008,40.000.000.000 đồng,40.000.000.000 đồng
