no,security_code,ISINs,security_name,security_type,trading_market,administration_place,status,security_url
1,FUCTVGF1,VN0FUCTVGF13,Chứng chỉ Quỹ Đầu tư Tăng trưởng TVAM,Chứng chỉ quỹ,HOSE,Trụ sở chính,Hủy đăng ký,https://vsd.vn/s-detail/4173
2,FUCTVGF2,VN0FUCTVGF21,Quỹ Đầu tư Tăng trưởng Thiên Việt 2,Chứng chỉ quỹ,HOSE,Trụ sở chính,Hủy đăng ký,https://vsd.vn/s-detail/6491
3,FUCTVGF3,VN0FUCTVGF39,Quỹ Đầu Tư Tăng Trưởng Thiên Việt 3,Chứng chỉ quỹ,HOSE,Trụ sở chính,Hiệu lực,https://vsd.vn/s-detail/20765
4,FUCTVGF4,VN0FUCTVGF47,Chứng chỉ Quỹ Đầu Tư Tăng Trưởng Thiên Việt 4,Chứng chỉ quỹ,HOSE,Trụ sở chính,Hiệu lực,https://vsd.vn/s-detail/26323
