Tên đầy đủ,Tên viết tắt,Tên tiếng anh,Địa chỉ,Điện thoại,Fax,Giấy chứng nhận ĐKKD/Giấy phép thành lập,Vốn điều lệ,Vốn thực góp
Công ty TNHH Quản lý quỹ SSI,SSIAM,SSI Asset Management Company Limited,"Tầng 5, 1C Ngô Quyền, Phường Lý Thái Tổ, Quận Hoàn Kiếm, Hà Nội",(84.24) 39366321,(84.24) 39366337,Số 19/UBCK-GP ngày 03/08/2007,699.000.000.000 đồng,699.000.000.000 đồng
