no,security_code,ISINs,security_name,security_type,trading_market,administration_place,status,security_url
1,FUEMAV30,VN0FUEMAV307,Chứng chỉ Quỹ ETF MAFM VN30,Chứng chỉ quỹ,HOSE,Trụ sở chính,Hiệu lực,https://vsd.vn/s-detail/12252
2,FUEMAVND,VN0FUEMAVND5,Chứng chỉ Quỹ ETF MAFM VNDIAMOND,Chứng chỉ quỹ,HOSE,Trụ sở chính,Hiệu lực,https://vsd.vn/s-detail/29695
