Tên đầy đủ,Tên viết tắt,Tên tiếng anh,Địa chỉ,Điện thoại,Fax,Giấy chứng nhận ĐKKD/Giấy phép thành lập,Vốn điều lệ,Vốn thực góp
Công ty cổ phần Quản Lý Quỹ VinaCapital,VCFM,VinaCapital Fund Management Joint Stock Company,"Lầu 17, Tòa nhà Sun Wah, 115 Nguyễn Huệ, Quận 1, Tp. Hồ Chí Minh, Việt Nam.",(84-28) 3821 9930,(84-28) 3821 9931,Số 31/UBCK-GP  do UBCKNN cấp ngày 14/04/2008,60.000.000.000 đồng,60.000.000.000 đồng
